ra,dec,Source_Name,Type,Fx(uJy),Porb,Final_Names,Final_Type
277.3625,-23.79138889, 1826-238       ,TB    ,30,          ,V* V4634 Sgr,LMXB
278.9333333,-32.98194444, 1832-330       ,GB    ,8,          ,[ZGV2011] 4,LMXB
279.9895833,5.03583333, 1837+049       ,B     ,225,          ,V* MM Ser,LMXB
282.32125,-3.06222222, 1846-031       ,TU    ,300,          ,EXO 1846-031,LMXB
283.2704167,-8.70555556, 1850-087       ,GB    ,7,0.343,4U 1850-086,LMXB
284.1625,5.33,J1856+053       ,T     ,70,          ,INTREF   948,LMXB
284.67325,22.65816667,J1859+226       ,T     ,600,          ,V* V406 Vul,HMXB
287.1125,0.16888889, 1905+000       ,B     ,10,          ,4U 1857+01,LMXB
287.8166667,0.585, 1908+005       ,TBA   ,0.1,19,X Aql X-1,LMXB
288.8208333,10.96833333, 1915+105       ,TB    ,300,          ,Granat 1915+105,HMXB
289.7,-5.23583333, 1916-053       ,BD    ,25,0.83,V* V1405 Aql,LMXB
290.0708333,14.69416667, 1918+146       ,T     ,5,          ,4U 1918+15,LMXB
295.6583333,-3.9, 1940-04        ,B     ,50,          ,INTREF   989,LMXB
299.85,11.70833333, 1957+115       ,U     ,30,9.33,V* V1408 Aql,LMXB
300.7066667,25.23666667, 2000+251       ,TU    ,0.5,8.26,V* QZ Vul,HMXB
303.1575,38.18363889,J2012+381       ,TU    ,160,          ,INTREF  1012,LMXB
306.0158333,33.86777778, 2023+338       ,TU    ,0.4,155.4,V* V404 Cyg,HMXB
320.8105833,-5.79802778,J2123-058       ,TBA   ,110,5.96,V* LZ Aqr,LMXB
322.4929167,12.1675, 2127+119       ,GB    ,6,17.1,4U 2129+12,LMXB
322.8591667,47.29, 2129+470       ,B     ,9,5.24,V* V1727 Cyg,LMXB
326.1716667,38.32166667, 2142+380       ,ZB    ,450,236.2,V* V1341 Cyg,LMXB
350.1420833,62.2925, 2318+620       ,      ,2.4,          ,4U 2316+61,LMXB
