Date_Observed,Proposal_ID,Target_ID,ra,dec,Observation_ID,Instrument,Time_Observed,SIMBAD_Name,Source_Type
2019-01-24,A05_108,T02,194.268,-30.375053,A05_108T02_9000002676:: Abell3530,uvit1,18:18:25,2MASX J12570425-3022305,Seyfert_2
2019-01-26,A05_159,T01,83.633083,22.0145,A05_159T01_9000002678:: Crab,czt1,06:43:43,M   1,SNR
2019-01-29,A05_101,T02,52.669957999999994,-50.30961,A05_101T02_9000002680:: NGC1356,uvit1,01:20:00,NGC  1356,IG
2019-01-29,A06_003,T04,36.820329,33.57917,A06_003T04_9000002682:: NGC 0925,uvit1,07:45:04,NAME NGC 925 Group,GroupG
2019-01-31,A06_006,T01,53.12370799999999,-27.735364,A06_006T01_9000002684:: AUDFLs,uvit1,00:50:00,EIS-DEEP CDFS-1 J 1  171,Star
2019-02-01,T03_080,T01,237.391917,70.348089,T03_080T01_9000002686:: Blank Sky-8,laxpc1,00:50:00,0.0,0.0
2019-02-01,A05_019,T01,51.17125,34.179444000000004,A05_019T01_9000002688:: 1H 0323+342,sxt,20:59:41,QSO J0324+3410,BLLac
2019-02-03,A05_097,T01,211.823,6.446,A05_097T01_9000002690:: SGW_d_01,uvit1,12:42:30,SDSS J140718.55+062637.4,Galaxy
2019-02-03,A05_186,T01,106.5585,30.233444,A05_186T01_9000002692:: UGC 3672,uvit1,19:20:40,0.0,0.0
2019-02-04,A05_084,T04,51.571878999999996,-21.33522,A05_084T04_9000002694:: NGC 1332,uvit1,11:45:45,[LB2005] NGC  1332 X1,X
2019-02-04,T03_035,T01,188.584621,8.19775,T03_035T01_9000002696:: NGC 4535,uvit1,14:46:08,NGC  4535,HII_G
2019-02-04,A05_082,T08,188.46505,19.8866,A05_082T08_9000002698:: SDSS J123351.61+195311.8,uvit1,19:35:20,SDSS J123351.60+195311.7,AGN
2019-02-05,A05_103,T01,181.039125,20.347806,A05_103T01_9000002700:: NGC 4066,uvit1,08:32:06,NGC  4066,GinGroup
2019-02-05,A05_194,T05,192.063458,17.774010999999998,A05_194T05_9000002702:: SDSS J124815+174626,uvit1,15:04:45,LEDA   43234,Galaxy
2019-02-05,T03_014,T01,217.04525,13.55158,T03_014T01_9000002704:: UGC9273,uvit1,20:07:13,[BKD2008] WR 378,PartofG
2019-02-06,A05_176,T05,214.584258,7.592528999999999,A05_176T05_9000002706:: NGC5546offset,uvit1,12:24:00,0.0,0.0
2019-02-06,A05_063,T02,175.712375,20.442181,A05_063T02_9000002708:: A1367b,uvit2,15:39:30,SDSS J114250.97+202631.8,Galaxy
2019-02-07,A05_160,T02,186.22625,21.382278,A05_160T02_9000002710:: PKS 1222+216,sxt,10:57:18,4C 21.35,QSO
2019-02-08,T03_003,T01,186.668708,19.754389,T03_003T01_9000002712:: AGC 229361 (original T02),uvit1,19:14:12,AGC 229361,Galaxy
2019-02-09,C04_009,T03,12.08,85.223917,C04_009T03_9000002714:: NGC 188,uvit1,21:35:30,Cl* NGC  188    DGV     702,Star
2019-02-10,C04_001,T01,237.391917,70.348089,C04_001T01_9000002716:: Blank Sky-8,laxpc1,05:25:27,0.0,0.0
2019-02-11,A05_019,T01,51.17125,34.179444000000004,A05_019T01_9000002718:: 1H 0323+342,sxt,06:20:00,QSO J0324+3410,BLLac
